Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
16793,R,System-specific,R-core@R-project.org,UNCONFIRMED,---,Make a way to get amount of available memory on Linux,4/2/2016 19:06
15963,R,System-specific,R-core@R-project.org,NEW,---,R 3.1.1 core during make check on ppc64 archi,4/2/2015 12:18
15554,R,Accuracy,R-core@R-project.org,ASSIGNED,---,bessel function issues,9/10/2015 12:33
16034,R,Wishlist,R-core@R-project.org,NEW,---,wish: use iterative unserialization for pairlists,4/21/2015 6:11
16716,R,Language,R-core@R-project.org,ASSIGNED,---,tar does not add any files to compressed directory,3/4/2016 11:00
16497,R,Graphics,martyn.plummer@r-project.org,ASSIGNED,---,X11() hangs after updating to xorg-x11-server-Xort-1.15.0-36.elg.x86_64,11/5/2015 12:38
15084,R,Documentation,R-core@R-project.org,NEW,---,Rd2HTML fails to insert paragraph breaks after code blocks,6/24/2014 22:36
16542,R,Analyses,R-core@R-project.org,ASSIGNED,---,nlme:::summary.lmList with unequal outputs per group,10/5/2015 9:29
15045,R,Wishlist,R-core@R-project.org,ASSIGNED,---,Add support for R CMD check --level and env var _R_CHECK_LEVEL_,9/8/2012 14:07
14359,R,Analyses,R-core@R-project.org,ASSIGNED,---,Wishlist: enhance formula interface in t.test(),3/20/2011 16:38
16617,R,Add-ons,R-core@R-project.org,UNCONFIRMED,---,write.arff output boolean as numeric,12/1/2015 9:50
16560,R,Low-level,R-core@R-project.org,UNCONFIRMED,---,AIX 32 bit R 3.2.2 segfault when reading non-trivial data set,10/9/2015 18:11
16421,R,S4methods,R-core@R-project.org,UNCONFIRMED,---,"infinite recursion in automatic ""coerce<-"" method",6/16/2015 12:28
16422,R,S4methods,R-core@R-project.org,UNCONFIRMED,---,"method definitions unexpectedly altered and inheritance broken after defining a ""coerce"" method",6/12/2015 21:22
16651,R,Windows GUI / Window specific,R-core@R-project.org,UNCONFIRMED,---,chooseCRANmirror() causes cryptnet.dll error,1/4/2016 17:46
16706,R,Mac GUI / Mac specific,simon.urbanek@r-project.org,UNCONFIRMED,---,Interfacing with Finder on OS X 10.11 causes crashes,3/2/2016 12:55
16629,R,S4methods,R-core@R-project.org,NEW,---,Infinite recursion when S4 object has S3 superclass and a slot of type call,12/15/2015 13:30
14730,R,Windows GUI / Window specific,R-core@R-project.org,UNCONFIRMED,---,tcltk window freezes when interrupting calculations/locator function,8/5/2013 10:06
15209,R,Language,R-core@R-project.org,NEW,---,difftime concatenation,12/6/2014 13:50
16515,R,Windows GUI / Window specific,R-core@R-project.org,UNCONFIRMED,---,Starting 64-bit R in Windows 7 Fails because calls to ntdll.dll and kernel32.dll both run as 32-bit vs. 64-bit,8/19/2015 1:58
16102,R,Mac GUI / Mac specific,simon.urbanek@r-project.org,NEW,---,Hangs on Open Dialogue,11/19/2015 19:18
16674,R,Low-level,R-core@R-project.org,UNCONFIRMED,---,Problem with functions using lapack when there are large objects in memory,1/20/2016 11:38
15942,R,Low-level,R-core@R-project.org,NEW,---,R CMD check --as-cran fails from read-only file system or directory tree,8/20/2014 10:13
16565,R,System-specific,R-core@R-project.org,UNCONFIRMED,---,R.dll mistakenly export symbols like printf(),10/15/2015 6:30
16376,R,Add-ons,R-core@R-project.org,UNCONFIRMED,---,tools::codoc in src/library/tools/R/QC.R uses the wrong regular expression function,5/10/2015 13:07
16728,R,Language,R-core@R-project.org,UNCONFIRMED,---,gsub does not handle properly new lines in regular expressions,2/26/2016 9:58
16794,R,Misc,R-core@R-project.org,UNCONFIRMED,---,Using delete on the end of the line causes a seg fault,4/4/2016 8:51
15018,R,Mac GUI / Mac specific,simon.urbanek@r-project.org,UNCONFIRMED,---,Resizing Terminal or Application Windows Results in Long Delays While Text is Reformatted,5/26/2015 7:27
15952,R,Misc,R-core@R-project.org,NEW,---,Problem with sort? inconsistent results.,8/28/2014 15:15
16678,R,Add-ons,R-core@R-project.org,UNCONFIRMED,---,adf.test() fails for less than 7 values,1/21/2016 11:09
16070,R,Models,R-core@R-project.org,REOPENED,---,terms function mishandling case when intercept is excluded,11/21/2014 22:05
15746,R,Low-level,R-core@R-project.org,ASSIGNED,---,quantile over repeated floating point bug,4/12/2016 10:13
16389,R,Add-ons,R-core@R-project.org,UNCONFIRMED,---,"incorrect declaration of F77_NAME(dppsvx): 'fact' should be const char*, not const int*.",5/15/2015 23:53
16446,R,Low-level,R-core@R-project.org,UNCONFIRMED,---,Unloading dynamic library bug,7/4/2015 18:39
16085,R,Graphics,R-core@R-project.org,NEW,---,stdwidth with SVG or Cairo devices crashes R,9/9/2015 8:50
