"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
995120,"Bugzilla","Bug Import/Export & Moving","import-export","UNCONFIRMED"," ---","cannot get importxml to recognise the path to the attachment files in windows","2014-04-11 02:07:51"
469734,"Bugzilla","Installation & Upgrading","installation","UNCONFIRMED"," ---","Process .po files from templates to allow multiple $terms","2008-12-25 19:15:50"
439306,"Toolkit","Download Manager","nobody","UNCONFIRMED"," ---","Saving multiple files from Page Info > Media tab causes weird display bug in DM","2008-07-31 04:30:00"
699933,"Rhino","Core","nobody","UNCONFIRMED"," ---","[RHINO DEBUGGER] - editing of source files in rhino debugger","2011-11-04 14:58:23"
702743,"Core","HTML: Form Submission","nobody","UNCONFIRMED"," ---","Firefox 8 Html5 <input> tag multiple file selection bug (number of files limited in Windows 7)","2011-11-17 08:22:33"
736003,"Core","IPC","nobody","UNCONFIRMED"," ---","If filesystem is full or nearly full, after updating, Firefox crashes with abort message ""###!!! ABORT: file /builds/slave/m-aurora-lnx-ntly/build/ipc/chromium/src/base/thread_local_posix.cc, line 33""","2012-03-25 01:01:44"
979228,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","download resume mkv files","2014-04-14 21:13:29"
1088337,"Participation Infrastructure","API Requests","nobody","UNCONFIRMED"," ---","Need API key for accessing Mozillians.org data to experiment with user geographic profiles related to Bug 1082651","2014-10-23 15:12:51"
1125052,"Firefox","Developer Tools: WebIDE","nobody","UNCONFIRMED"," ---","Unable to search the keyword in the WEBIDE Files","2015-07-03 11:38:09"
1185536,"Mozilla Developer Network","General","nobody","UNCONFIRMED"," ---","HTML5 canvas tutorial(s) - file-access-from-files","2015-07-24 15:22:23"
1234686,"Mozilla Developer Network","General","nobody","UNCONFIRMED"," ---","Addons with Extension Proxy Files are disabled (not signed)","2015-12-22 14:11:16"
211966,"Other Applications","Venkman JS Debugger","rginda","UNCONFIRMED"," ---","Venkman chokes on large javascript files","2015-01-25 09:24:38"
1265327,"Firefox","Developer Tools: Inspector","nobody","UNCONFIRMED"," ---","Event popup's ""Open in Debugger"" does not jump to correct file for source mapped (minified) js files","2016-04-22 08:21:59"
1277802,"Firefox","Developer Tools: Debugger","nobody","UNCONFIRMED"," ---","some javascripts files are invisible both in inspector and firebug","2016-06-08 03:31:15"
225220,"Bugzilla","Administration","administration","NEW"," ---","Allow comments in profiles_activity table","2010-10-29 15:25:20"
225873,"Bugzilla","Administration","administration","NEW"," ---","Changing bless permissions is not logged in profiles_activity","2012-10-16 03:55:04"
1265275,"Core","DOM","ajain2","NEW"," ---","[Presentation WebAPI] Remove ""using namespace"" from dom/presentation cpp files","2016-05-29 19:46:09"
210407,"Bugzilla","Attachments & Requests","attach-and-request","NEW"," ---","[PatchReader] interdiff does not work on files diffed against two different versions","2016-02-16 06:47:30"
770305,"Bugzilla","Attachments & Requests","attach-and-request","NEW"," ---","No failure message when dragging multiple files into the attachment file input and submitting the page","2014-04-07 08:59:52"
666836,"Other Applications","Venkman JS Debugger","bugspam.Callek","NEW"," ---","Remove (now dead) repackage-installer code from venkman makefiles","2011-11-08 20:39:17"
277796,"Bugzilla","Database","database","NEW"," ---","Profiles.userid should be profiles.id","2013-08-01 10:37:40"
1102982,"Bugzilla","Documentation","documentation","NEW"," ---","In the REST API docs from bug 1038275, quite a few objects are repeated throughout and should be in separate files that can be included","2014-12-07 10:24:13"
1234064,"Bugzilla","Documentation","documentation","NEW"," ---","makedocs.pl excludes all files under Bugzilla/API/1_0/ when compiling POD","2015-12-20 20:48:05"
301502,"Bugzilla","Bugzilla-General","general","NEW"," ---","eliminate all filesystem storage of dynamic data","2013-08-01 10:26:10"
956191,"Bugzilla","Bugzilla-General","general","NEW"," ---","Merge some of the JS files (14 is way too much)","2014-07-20 21:57:24"
607622,"Bugzilla","Bug Import/Export & Moving","import-export","NEW"," ---","The XML files generated by clicking the XML button at then end of buglists do not include attachment data","2010-10-27 10:00:19"
225872,"Bugzilla","Installation & Upgrading","installation","NEW"," ---","Checksetup doesn't log admin promotion to profiles_activity","2016-04-10 13:50:12"
346592,"Bugzilla","Installation & Upgrading","installation","NEW"," ---","checksetup should use Win32::FileSecurity to set permissions on Windows","2006-07-30 18:36:17"
511340,"Bugzilla","Installation & Upgrading","installation","NEW"," ---","checksetup cannot chmod/chown files created by the webserver if you are not root","2014-07-09 07:24:09"
1270116,"Bugzilla","Installation & Upgrading","installation","NEW"," ---","checksetup.pl should update .htaccess files in subdirectories","2016-05-04 08:14:43"
129923,"Firefox","File Handling","jvarga","NEW"," ---","Bugs related to <pre->saving files to temp dir.","2016-06-22 11:36:07"
684900,"Core","js-ctypes","mh+mozilla","NEW"," ---","libffi assembly files are not built with debug symbols","2011-09-06 11:59:05"
337393,"Thunderbird","Mail Window Front End","nobody","NEW"," ---","Slow loading of messages with large attached text files if ""Display Attachments Inline"" enabled","2015-01-14 11:34:42"
393684,"SeaMonkey","Startup & Profiles","nobody","NEW"," ---","support commandline argument -app like FireFox does","2011-05-21 03:22:09"
427308,"Core","General","nobody","NEW"," ---","Firefox leaks while attaching files to Bugreports","2008-10-28 16:05:05"
497081,"Firefox","File Handling","nobody","NEW"," ---","Mimetype/filetype/content type association handling subsystem behavior becomes buggy after repeated downloading of files","2016-06-22 11:37:36"
503662,"MailNews Core","Testing Infrastructure","nobody","NEW"," ---","Stop using tail_ files in xpcshell: use do_register_cleanup() instead, in MailNews","2014-11-24 00:44:48"
521974,"SeaMonkey","Build Config","nobody","NEW"," ---","Package en-US help files when localized help is not available","2011-05-07 10:38:21"
